Sextant,CAN,Device,Row,Column,STPanelPos
1,1,P1346,R+3,C6,10A
1,1,P1357,R+3,C5,10B
1,1,P0820,R+4,C5,10C
1,1,P0466,R+5,C5,10D
1,1,FTO-201783,R+4,C6,19AA
1,1,P0979,R+3,C7,10E
1,1,P1032,R+2,C8,9A
1,1,P1272,R+1,C9,9B
1,1,P0310,R+1,C8,9C
1,1,P1200,R+2,C7,9D
1,1,P1026,R+2,C6,9E
1,1,P1323,R+2,C5,11A
1,1,P1342,R+2,C4,11B
1,1,FTO-201710,R+3,C4,19BA
1,1,P0233,R+4,C4,11C
1,1,P0627,R+5,C4,11D
1,1,P0325,R+6,C4,11E
1,1,FTO-201718,R+7,C4,19CA
1,1,P0612,R+6,C5,8A
1,1,P0639,R+5,C6,8B
1,1,P0990,R+4,C7,8C
1,1,P1354,R+3,C8,8D
1,1,P0789,R+2,C9,8E
1,1,P1222,R+1,C10,12A
1,2,P1202,R+1,C11,12B
1,2,None,R+2,C10,12C
1,2,P0260,R+3,C9,12D
1,2,P0995,R+4,C8,12E
1,2,P1281,R+5,C7,7A
1,2,P1290,R+6,C6,7B
1,2,P0664,R+7,C5,7C
1,2,P0608,R+8,C4,7D
1,2,P0891,R+9,C3,7E
1,2,P0565,R+8,C3,13A
1,2,P0766,R+7,C3,13B
1,2,P1011,R+6,C3,13C
1,2,P0795,R+5,C3,13D
1,2,P0436,R+4,C3,13E
1,2,P0669,R+3,C3,6A
1,2,P0552,R+2,C3,6B
1,2,P0533,R+1,C3,6C
1,2,P1260,R+1,C4,6D
1,2,P1201,R+1,C5,6E
1,2,P0469,R+1,C6,14A
1,2,P0875,R+1,C7,14B
1,3,P1012,R+1,C12,14C
1,3,P0599,R+2,C11,14D
1,3,P0503,R+3,C10,14E
1,3,P0761,R+4,C9,5A
1,3,P1095,R+5,C8,5B
1,3,P1251,R+6,C7,5C
1,3,P0802,R+7,C6,5D
1,3,P0160,R+8,C5,5E
1,3,P1285,R+9,C4,15A
1,3,P0264,R+10,C3,15B
1,3,P0396,R+11,C2,15C
1,3,P0691,R+10,C2,15D
1,3,P1213,R+9,C2,15E
1,3,P1226,R+8,C2,4A
1,3,P0994,R+7,C2,4B
1,3,FTO-201784,R+6,C2,19DA
1,3,P1093,R+5,C2,4C
1,3,P0971,R+4,C2,4D
1,3,P0886,R+3,C2,4E
1,3,P0733,R+2,C2,16A
1,3,P0597,R+1,C2,16B
1,3,P0550,R+1,C1,16C
1,4,P0846,R+1,C13,16D
1,4,FTO-201712,R+2,C12,19EA
1,4,P0914,R+3,C11,16E
1,4,P0192,R+4,C10,3A
1,4,P0741,R+5,C9,3B
1,4,FTO-201780,R+6,C8,1AA
1,4,P0016,R+7,C7,3C
1,4,P1270,R+8,C6,3D
1,4,P1246,R+9,C5,3E
1,4,FTO-201750,R+10,C4,1BA
1,4,P0514,R+11,C3,17A
1,4,P0333,R+12,C2,17B
1,4,P0483,R+13,C1,17C
1,4,P1144,R+12,C1,17D
1,4,P0343,R+11,C1,17E
1,4,P1177,R+10,C1,2A
1,4,P0809,R+9,C1,2B
1,4,P0588,R+8,C1,2C
1,4,P0793,R+7,C1,2D
1,4,P0383,R+6,C1,2E
1,4,P1098,R+5,C1,18A
1,4,P0674,R+4,C1,18B
1,4,P0839,R+3,C1,18C
1,4,P1267,R+2,C1,18D
2,1,P1049,R+8,C9,10A
2,1,P1028,R+9,C8,10B
2,1,P0721,R+9,C9,10C
2,1,P0985,R+9,C10,10D
2,1,FTO-201705,R+8,C10,19AA
2,1,P0481,R+7,C10,10E
2,1,P0506,R+6,C10,9A
2,1,P0495,R+5,C10,9B
2,1,P0717,R+6,C9,9C
2,1,P0904,R+7,C9,9D
2,1,P0422,R+8,C8,9E
2,1,P0580,R+9,C7,11A
2,1,P0648,R+10,C6,11B
2,1,FTO-201719,R+10,C7,19BA
2,1,P0956,R+10,C8,11C
2,1,P0199,R+10,C9,11D
2,1,P0760,R+10,C10,11E
2,1,FTO-201753,R+10,C11,19CA
2,1,P0963,R+9,C11,8A
2,1,P0716,R+8,C11,8B
2,1,P0818,R+7,C11,8C
2,1,P0623,R+6,C11,8D
2,1,P1040,R+5,C11,8E
2,1,P1037,R+4,C11,12A
2,2,P1126,R+3,C12,12B
2,2,P0638,R+4,C12,12C
2,2,P0668,R+5,C12,12D
2,2,P0849,R+6,C12,12E
2,2,P0619,R+7,C12,7A
2,2,P0781,R+8,C12,7B
2,2,P0635,R+9,C12,7C
2,2,P0840,R+10,C12,7D
2,2,P1300,R+11,C12,7E
2,2,P0906,R+11,C11,13A
2,2,P1069,R+11,C10,13B
2,2,P0598,R+11,C9,13C
2,2,P0910,R+11,C8,13D
2,2,P0757,R+11,C7,13E
2,2,P0322,R+11,C6,6A
2,2,P0786,R+11,C5,6B
2,2,P0630,R+11,C4,6C
2,2,P0572,R+10,C5,6D
2,2,P0409,R+9,C6,6E
2,2,P0437,R+8,C7,14A
2,2,P0448,R+7,C8,14B
2,3,P0986,R+2,C13,14C
2,3,P0296,R+3,C13,14D
2,3,P1376,R+4,C13,14E
2,3,P0827,R+5,C13,5A
2,3,P0730,R+6,C13,5B
2,3,P1241,R+7,C13,5C
2,3,P0901,R+8,C13,5D
2,3,P1070,R+9,C13,5E
2,3,P0903,R+10,C13,15A
2,3,P0866,R+11,C13,15B
2,3,P0402,R+12,C13,15C
2,3,P0954,R+12,C12,15D
2,3,P1176,R+12,C11,15E
2,3,P0885,R+12,C10,4A
2,3,P0452,R+12,C9,4B
2,3,FTO-201752,R+12,C8,19DA
2,3,P1287,R+12,C7,4C
2,3,P0040,R+12,C6,4D
2,3,P0940,R+12,C5,4E
2,3,P0372,R+12,C4,16A
2,3,P1365,R+12,C3,16B
2,3,P1034,R+13,C2,16C
2,4,P0548,R+1,C14,16D
2,4,FTO-201717,R+2,C14,19EA
2,4,P0575,R+3,C14,16E
2,4,P1382,R+4,C14,3A
2,4,P0814,R+5,C14,3B
2,4,FTO-201700,R+6,C14,1AA
2,4,P0604,R+7,C14,3C
2,4,P0964,R+8,C14,3D
2,4,P0973,R+9,C14,3E
2,4,FTO-201751,R+10,C14,1BA
2,4,P0895,R+11,C14,17A
2,4,P0654,R+12,C14,17B
2,4,P0361,R+13,C14,17C
2,4,P0605,R+13,C13,17D
2,4,P0417,R+13,C12,17E
2,4,P0228,R+13,C11,2A
2,4,P1044,R+13,C10,2B
2,4,P0894,R+13,C9,2C
2,4,P0488,R+13,C8,2D
2,4,P1252,R+13,C7,2E
2,4,P1364,R+13,C6,18A
2,4,P1190,R+13,C5,18B
2,4,P0877,R+13,C4,18C
2,4,P0857,R+13,C3,18D
3,1,P0052,R+5,C17,10A
3,1,P0681,R+6,C17,10B
3,1,P1017,R+5,C18,10C
3,1,P0852,R+4,C19,10D
3,1,FTO-201711,R+4,C18,19AA
3,1,P0463,R+4,C17,10E
3,1,P0816,R+4,C16,9A
3,1,P0261,R+4,C15,9B
3,1,P0965,R+5,C15,9C
3,1,P0475,R+5,C16,9D
3,1,P0790,R+6,C16,9E
3,1,P1240,R+7,C16,11A
3,1,P1182,R+8,C16,11B
3,1,FTO-201702,R+7,C17,19BA
3,1,P0908,R+6,C18,11C
3,1,P0063,R+5,C19,11D
3,1,P0460,R+4,C20,11E
3,1,FTO-201707,R+3,C21,19CA
3,1,P0912,R+3,C20,8A
3,1,P0902,R+3,C19,8B
3,1,P0719,R+3,C18,8C
3,1,P0825,R+3,C17,8D
3,1,P1329,R+3,C16,8E
3,1,P0694,R+3,C15,12A
3,2,P0693,R+2,C15,12B
3,2,None,R+2,C16,12C
3,2,P0450,R+2,C17,12D
3,2,P0709,R+2,C18,12E
3,2,P0765,R+2,C19,7A
3,2,P0936,R+2,C20,7B
3,2,P0921,R+2,C21,7C
3,2,P0762,R+2,C22,7D
3,2,P1301,R+2,C23,7E
3,2,P0835,R+3,C22,13A
3,2,P0899,R+4,C21,13B
3,2,P0689,R+5,C20,13C
3,2,P0501,R+6,C19,13D
3,2,P0698,R+7,C18,13E
3,2,P0692,R+8,C17,6A
3,2,P0787,R+9,C16,6B
3,2,P1013,R+10,C15,6C
3,2,P0868,R+9,C15,6D
3,2,P0493,R+8,C15,6E
3,2,P1043,R+7,C15,14A
3,2,P0577,R+6,C15,14B
3,3,P0671,R+1,C15,14C
3,3,P1016,R+1,C16,14D
3,3,P0600,R+1,C17,14E
3,3,P0837,R+1,C18,5A
3,3,P1094,R+1,C19,5B
3,3,P0779,R+1,C20,5C
3,3,P0724,R+1,C21,5D
3,3,P0997,R+1,C22,5E
3,3,P1023,R+1,C23,15A
3,3,P0942,R+1,C24,15B
3,3,P1096,R+1,C25,15C
3,3,P0951,R+2,C24,15D
3,3,P0832,R+3,C23,15E
3,3,P0806,R+4,C22,4A
3,3,P1046,R+5,C21,4B
3,3,FTO-201782,R+6,C20,19DA
3,3,P0200,R+7,C19,4C
3,3,P0660,R+8,C18,4D
3,3,P0626,R+9,C17,4E
3,3,P0819,R+10,C16,16A
3,3,P0432,R+11,C15,16B
3,3,P0938,R+12,C15,16C
3,4,P0984,R0,C15,16D
3,4,FTO-201514,R0,C16,19EA
3,4,P1036,R0,C17,16E
3,4,P0805,R0,C18,3A
3,4,P0932,R0,C19,3B
3,4,FTO-201468,R0,C20,1AA
3,4,P0784,R0,C21,3C
3,4,P1125,R0,C22,3D
3,4,P1370,R0,C23,3E
3,4,FTO-201474,R0,C24,1BA
3,4,P0613,R0,C25,17A
3,4,P0870,R0,C26,17B
3,4,P0999,R0,C27,17C
3,4,P0507,R+1,C26,17D
3,4,P0375,R+2,C25,17E
3,4,P1019,R+3,C24,2A
3,4,P0872,R+4,C23,2B
3,4,P0847,R+5,C22,2C
3,4,P0706,R+6,C21,2D
3,4,P1155,R+7,C20,2E
3,4,P1109,R+8,C19,18A
3,4,P0830,R+9,C18,18B
3,4,P1091,R+10,C17,18C
3,4,P0678,R+11,C16,18D
4,1,P1208,R-3,C19,10A
4,1,P0991,R-3,C20,10B
4,1,P0943,R-4,C19,10C
4,1,P0665,R-5,C18,10D
4,1,FTO-201781,R-4,C18,19AA
4,1,P0791,R-3,C18,10E
4,1,P0828,R-2,C18,9A
4,1,P1000,R-1,C18,9B
4,1,P0581,R-1,C19,9C
4,1,P0989,R-2,C19,9D
4,1,P0170,R-2,C20,9E
4,1,P0302,R-2,C21,11A
4,1,P0753,R-2,C22,11B
4,1,FTO-201080,R-3,C21,19BA
4,1,P0842,R-4,C20,11C
4,1,P0742,R-5,C19,11D
4,1,P0831,R-6,C18,11E
4,1,FTO-201749,R-7,C17,19CA
4,1,P0715,R-6,C17,8A
4,1,P0640,R-5,C17,8B
4,1,P0690,R-4,C17,8C
4,1,P0256,R-3,C17,8D
4,1,P0455,R-2,C17,8E
4,1,P0796,R-1,C17,12A
4,2,P1345,R-1,C16,12B
4,2,None,R-2,C16,12C
4,2,P1113,R-3,C16,12D
4,2,P1334,R-4,C16,12E
4,2,P0631,R-5,C16,7A
4,2,P0804,R-6,C16,7B
4,2,P0687,R-7,C16,7C
4,2,P0641,R-8,C16,7D
4,2,P0245,R-9,C16,7E
4,2,P0896,R-8,C17,13A
4,2,P0871,R-7,C18,13B
4,2,P0544,R-6,C19,13C
4,2,P1051,R-5,C20,13D
4,2,P0610,R-4,C21,13E
4,2,P0714,R-3,C22,6A
4,2,P0554,R-2,C23,6B
4,2,P0748,R-1,C24,6C
4,2,P1266,R-1,C23,6D
4,2,P1081,R-1,C22,6E
4,2,P0975,R-1,C21,14A
4,2,P0675,R-1,C20,14B
4,2,P1215,R-1,C15,14C
4,3,P1289,R-2,C15,14D
4,3,P1086,R-3,C15,14E
4,3,P0523,R-4,C15,5A
4,3,P0950,R-5,C15,5B
4,3,P0996,R-6,C15,5C
4,3,P1042,R-7,C15,5D
4,3,P1114,R-8,C15,5E
4,3,P0130,R-9,C15,15A
4,3,P0215,R-10,C15,15B
4,3,P0155,R-11,C15,15C
4,3,P0444,R-10,C16,15D
4,3,P1100,R-9,C17,15E
4,3,P0285,R-8,C18,4A
4,3,P0126,R-7,C19,4B
4,3,FTO-201716,R-6,C20,19DA
4,3,P1115,R-5,C21,4C
4,3,P1232,R-4,C22,4D
4,3,P1326,R-3,C23,4E
4,3,P0138,R-2,C24,16A
4,3,P0278,R-1,C25,16B
4,3,P0394,R-1,C26,16C
4,4,P0003,R-1,C14,16D
4,4,FTO-201520,R-2,C14,19EA
4,4,P1358,R-3,C14,16E
4,4,P0275,R-4,C14,3A
4,4,P1333,R-5,C14,3B
4,4,FTO-201072,R-6,C14,1AA
4,4,P0184,R-7,C14,3C
4,4,P0159,R-8,C14,3D
4,4,P0162,R-9,C14,3E
4,4,FTO-201058,R-10,C14,1BA
4,4,P1156,R-11,C14,17A
4,4,P1101,R-12,C14,17B
4,4,P0941,R-13,C14,17C
4,4,P0114,R-12,C15,17D
4,4,P0293,R-11,C16,17E
4,4,P1229,R-10,C17,2A
4,4,P1302,R-9,C18,2B
4,4,P1131,R-8,C19,2C
4,4,P1064,R-7,C20,2D
4,4,P0129,R-6,C21,2E
4,4,P1158,R-5,C22,18A
4,4,P1058,R-4,C23,18B
4,4,P0107,R-3,C24,18C
4,4,P0589,R-2,C25,18D
5,1,P1316,R-8,C11,10A
5,1,P0865,R-9,C11,10B
5,1,P1150,R-9,C10,10C
5,1,P1187,R-9,C9,10D
5,1,FTO-201771,R-8,C10,19AA
5,1,P1303,R-7,C11,10E
5,1,P0124,R-6,C12,9A
5,1,P1400,R-5,C13,9B
5,1,P1363,R-6,C13,9C
5,1,P1359,R-7,C12,9D
5,1,P1338,R-8,C12,9E
5,1,P0676,R-9,C12,11A
5,1,P0136,R-10,C12,11B
5,1,FTO-201770,R-10,C11,19BA
5,1,P0148,R-10,C10,11C
5,1,P1106,R-10,C9,11D
5,1,P1388,R-10,C8,11E
5,1,FTO-201772,R-10,C7,19CA
5,1,P1336,R-9,C8,8A
5,1,P0948,R-8,C9,8B
5,1,P1381,R-7,C10,8C
5,1,P1153,R-6,C11,8D
5,1,P1140,R-5,C12,8E
5,1,P1207,R-4,C13,12A
5,2,P1130,R-3,C13,12B
5,2,P0140,R-4,C12,12C
5,2,P0078,R-5,C11,12D
5,2,P1112,R-6,C10,12E
5,2,P1194,R-7,C9,7A
5,2,P1129,R-8,C8,7B
5,2,P1108,R-9,C7,7C
5,2,P0202,R-10,C6,7D
5,2,P0214,R-11,C5,7E
5,2,P1306,R-11,C6,13A
5,2,P1318,R-11,C7,13B
5,2,P0661,R-11,C8,13C
5,2,P1169,R-11,C9,13D
5,2,P1372,R-11,C10,13E
5,2,P1312,R-11,C11,6A
5,2,P0289,R-11,C12,6B
5,2,P0115,R-11,C13,6C
5,2,P0587,R-10,C13,6D
5,2,P0251,R-9,C13,6E
5,2,P0373,R-8,C13,14A
5,2,P0120,R-7,C13,14B
5,3,P1085,R-2,C13,14C
5,3,P1328,R-3,C12,14D
5,3,P1324,R-4,C11,14E
5,3,P1349,R-5,C10,5A
5,3,P1056,R-6,C9,5B
5,3,P0187,R-7,C8,5C
5,3,P1163,R-8,C7,5D
5,3,P1383,R-9,C6,5E
5,3,P0236,R-10,C5,15A
5,3,P1192,R-11,C4,15B
5,3,P1353,R-12,C3,15C
5,3,P1362,R-12,C4,15D
5,3,P1393,R-12,C5,15E
5,3,P1384,R-12,C6,4A
5,3,P0171,R-12,C7,4B
5,3,FTO-201057,R-12,C8,19DA
5,3,P1317,R-12,C9,4C
5,3,P1392,R-12,C10,4D
5,3,P0086,R-12,C11,4E
5,3,P0222,R-12,C12,16A
5,3,P0298,R-12,C13,16B
5,3,P0240,R-13,C13,16C
5,4,P0110,R-1,C13,16D
5,4,FTO-201081,R-2,C12,19EA
5,4,P1330,R-3,C11,16E
5,4,P0918,R-4,C10,3A
5,4,P1149,R-5,C9,3B
5,4,FTO-201070,R-6,C8,1AA
5,4,P1025,R-7,C7,3C
5,4,P0838,R-8,C6,3D
5,4,P0808,R-9,C5,3E
5,4,FTO-201773,R-10,C4,1BA
5,4,P0677,R-11,C3,17A
5,4,P0919,R-12,C2,17B
5,4,P1004,R-13,C1,17C
5,4,P1009,R-13,C2,17D
5,4,P1136,R-13,C3,17E
5,4,P1118,R-13,C4,2A
5,4,P1107,R-13,C5,2B
5,4,P1127,R-13,C6,2C
5,4,P1104,R-13,C7,2D
5,4,P1314,R-13,C8,2E
5,4,P0756,R-13,C9,18A
5,4,P0637,R-13,C10,18B
5,4,P0707,R-13,C11,18C
5,4,P0925,R-13,C12,18D
6,1,P1170,R-5,C6,10A
6,1,P0167,R-6,C5,10B
6,1,P0189,R-5,C5,10C
6,1,P1308,R-4,C5,10D
6,1,FTO-201521,R-4,C6,19AA
6,1,P1339,R-4,C7,10E
6,1,P0179,R-4,C8,9A
6,1,P0071,R-4,C9,9B
6,1,P1374,R-5,C8,9C
6,1,P1296,R-5,C7,9D
6,1,P1347,R-6,C6,9E
6,1,P0208,R-7,C5,11A
6,1,P1340,R-8,C4,11B
6,1,FTO-201748,R-7,C4,19BA
6,1,P1341,R-6,C4,11C
6,1,P1391,R-5,C4,11D
6,1,P0144,R-4,C4,11E
6,1,FTO-201169,R-3,C4,19CA
6,1,P1167,R-3,C5,8A
6,1,P1172,R-3,C6,8B
6,1,P1121,R-3,C7,8C
6,1,P1351,R-3,C8,8D
6,1,P1078,R-3,C9,8E
6,1,P1083,R-3,C10,12A
6,2,P1135,R-2,C11,12B
6,2,None,R-2,C10,12C
6,2,P1103,R-2,C9,12D
6,2,P1068,R-2,C8,12E
6,2,P1054,R-2,C7,7A
6,2,P1162,R-2,C6,7B
6,2,P1143,R-2,C5,7C
6,2,P0415,R-2,C4,7D
6,2,P1276,R-2,C3,7E
6,2,P0147,R-3,C3,13A
6,2,P0177,R-4,C3,13B
6,2,P0238,R-5,C3,13C
6,2,P0897,R-6,C3,13D
6,2,P0153,R-7,C3,13E
6,2,P0103,R-8,C3,6A
6,2,P1152,R-9,C3,6B
6,2,P1331,R-10,C3,6C
6,2,P1151,R-9,C4,6D
6,2,P0146,R-8,C5,6E
6,2,P1105,R-7,C6,14A
6,2,P0824,R-6,C7,14B
6,3,P0962,R-1,C12,14C
6,3,P0944,R-1,C11,14D
6,3,P0380,R-1,C10,14E
6,3,P0344,R-1,C9,5A
6,3,P1018,R-1,C8,5B
6,3,P0288,R-1,C7,5C
6,3,P1137,R-1,C6,5D
6,3,P0905,R-1,C5,5E
6,3,P1039,R-1,C4,15A
6,3,P0743,R-1,C3,15B
6,3,P0188,R-1,C2,15C
6,3,P0410,R-2,C2,15D
