date,time,nsolved,bore_ra,bore_dec,fwhm,ellipticity,camera_rotation,delta_ra,delta_dec,delta_rot,delta_scale
2021-12-12,09:29:46,5,-999.0,-999.0,1.22,0.2,-0.386,-0.02,0.051,0.0,-6.1e-05
2021-12-12,09:30:15,5,-999.0,-999.0,1.22,0.2,-0.385,-0.039,-0.05,0.0,-6.2e-05
2021-12-12,09:38:44,5,-999.0,-999.0,1.21,0.19,-0.355,6.58,6.881,0.0,-3.7e-05
2021-12-12,09:39:13,5,-999.0,-999.0,1.23,0.2,-0.375,2.538,2.678,0.0,-4.4e-05
2021-12-12,09:39:42,5,-999.0,-999.0,1.25,0.2,-0.382,1.195,0.995,0.0,-5.6e-05
2021-12-12,09:40:11,5,-999.0,-999.0,1.28,0.22,-0.379,0.357,0.352,0.0,-5.5e-05
2021-12-12,09:40:40,5,-999.0,-999.0,1.23,0.18,-0.384,0.182,0.148,0.0,-5.5e-05
2021-12-12,09:41:09,5,-999.0,-999.0,1.3,0.21,-0.379,0.053,0.146,0.0,-5.7e-05
2021-12-12,09:41:38,5,-999.0,-999.0,1.28,0.23,-0.385,0.107,0.049,0.0,-6.5e-05
2021-12-12,09:42:07,5,-999.0,-999.0,1.3,0.21,-0.38,-0.056,0.041,0.0,-5.3e-05
2021-12-12,09:42:36,5,-999.0,-999.0,1.28,0.2,-0.39,0.086,-0.016,0.0,-5.6e-05
2021-12-12,09:43:05,5,-999.0,-999.0,1.27,0.2,-0.387,0.021,-0.008,0.0,-5.2e-05
2021-12-12,09:43:34,5,-999.0,-999.0,1.26,0.22,-0.39,0.05,0.052,0.0,-6.7e-05
2021-12-12,09:44:02,5,-999.0,-999.0,1.14,0.19,-0.388,-0.03,0.145,0.0,-8.1e-05
2021-12-12,09:44:31,5,-999.0,-999.0,1.01,0.12,-0.403,0.117,-0.022,0.0,-0.000104
2021-12-12,09:45:01,5,-999.0,-999.0,0.96,0.11,-0.361,-0.233,-0.177,0.0,-5.5e-05
2021-12-12,09:45:30,5,-999.0,-999.0,0.95,0.11,-0.376,-0.157,0.001,0.0,-5.9e-05
2021-12-12,09:45:59,5,-999.0,-999.0,0.96,0.11,-0.364,-0.055,-0.038,0.0,-6.9e-05
2021-12-12,09:46:28,5,-999.0,-999.0,0.97,0.1,-0.375,0.016,0.014,0.0,-7e-05
2021-12-12,09:46:57,5,-999.0,-999.0,0.97,0.11,-0.368,-0.008,0.096,0.0,-6.8e-05
2021-12-12,09:47:27,5,-999.0,-999.0,0.99,0.1,-0.368,0.139,0.033,0.0,-6.7e-05
2021-12-12,09:47:55,5,-999.0,-999.0,0.97,0.1,-0.368,0.067,0.068,0.0,-6.3e-05
2021-12-12,09:48:25,5,-999.0,-999.0,0.97,0.11,-0.37,0.05,-0.039,0.0,-7.3e-05
2021-12-12,09:48:54,5,-999.0,-999.0,0.96,0.1,-0.369,0.054,0.044,0.0,-6.5e-05
2021-12-12,09:49:23,5,-999.0,-999.0,0.97,0.11,-0.368,0.006,0.063,0.0,-6.6e-05
2021-12-12,09:49:52,5,-999.0,-999.0,0.96,0.1,-0.376,0.165,0.029,0.0,-7e-05
2021-12-12,09:50:21,5,-999.0,-999.0,0.97,0.1,-0.374,-0.003,-0.042,0.0,-6.5e-05
2021-12-12,09:50:50,5,-999.0,-999.0,0.96,0.1,-0.378,0.011,0.004,0.0,-6.8e-05
2021-12-12,09:51:20,5,-999.0,-999.0,0.96,0.1,-0.36,-0.021,-0.025,0.0,-6.4e-05
2021-12-12,09:51:49,5,-999.0,-999.0,0.95,0.1,-0.369,0.005,-0.019,0.0,-7.1e-05
2021-12-12,09:52:18,5,-999.0,-999.0,0.95,0.1,-0.373,0.067,-0.007,0.0,-6.8e-05
2021-12-12,09:52:47,5,-999.0,-999.0,0.93,0.09,-0.381,0.056,0.003,0.0,-6.6e-05
2021-12-12,09:53:16,5,-999.0,-999.0,0.95,0.09,-0.375,0.016,-0.063,0.0,-6.5e-05
2021-12-12,09:53:45,5,-999.0,-999.0,0.94,0.09,-0.373,-0.039,0.001,0.0,-6.6e-05
2021-12-12,09:54:14,5,-999.0,-999.0,0.97,0.1,-0.37,-0.066,0.022,0.0,-6.9e-05
2021-12-12,09:54:44,5,-999.0,-999.0,0.98,0.1,-0.371,-0.015,0.054,0.0,-6.5e-05
2021-12-12,09:55:13,5,-999.0,-999.0,0.96,0.09,-0.373,-0.029,0.034,0.0,-6.5e-05
