design_id,ra,dec,pa,obs
1,0.0,-20.0,0.0,LCO
2,0.0,-20.0,0.0,LCO
3,0.0,0.0,0.0,APO
4,0.0,-20.0,0.0,LCO
5,0.0,20.0,0.0,APO
6,0.0,-20.0,0.0,LCO
7,0.0,-60.0,0.0,LCO
8,15.0,0.0,0.0,APO
9,15.0,0.0,0.0,APO
10,15.0,20.0,0.0,APO
11,15.0,-20.0,0.0,LCO
12,15.0,-60.0,0.0,LCO
13,0.0,0.0,0.0,APO
14,0.0,20.0,0.0,APO
15,0.0,-60.0,0.0,LCO
16,15.0,-20.0,0.0,LCO
17,15.0,20.0,0.0,APO
18,15.0,-60.0,0.0,LCO
19,30.0,0.0,0.0,APO
20,30.0,0.0,0.0,APO
21,30.0,-20.0,0.0,LCO
22,30.0,20.0,0.0,APO
23,30.0,-20.0,0.0,LCO
24,30.0,20.0,0.0,APO
25,30.0,-60.0,0.0,LCO
26,30.0,-60.0,0.0,LCO
27,45.0,0.0,0.0,APO
28,45.0,0.0,0.0,APO
29,45.0,-20.0,0.0,LCO
30,45.0,20.0,0.0,APO
31,45.0,-20.0,0.0,LCO
32,45.0,20.0,0.0,APO
33,45.0,-60.0,0.0,LCO
34,45.0,-60.0,0.0,LCO
35,60.0,0.0,0.0,APO
36,60.0,0.0,0.0,APO
37,60.0,-20.0,0.0,LCO
38,60.0,20.0,0.0,APO
39,60.0,-20.0,0.0,LCO
40,60.0,20.0,0.0,APO
41,60.0,-60.0,0.0,LCO
42,60.0,-60.0,0.0,LCO
43,75.0,0.0,0.0,APO
44,75.0,0.0,0.0,APO
45,75.0,-20.0,0.0,LCO
46,75.0,20.0,0.0,APO
47,75.0,-20.0,0.0,LCO
48,75.0,20.0,0.0,APO
49,75.0,-60.0,0.0,LCO
50,75.0,-60.0,0.0,LCO
51,90.0,-20.0,0.0,LCO
52,90.0,-20.0,0.0,LCO
53,90.0,-60.0,0.0,LCO
54,90.0,60.0,0.0,APO
55,90.0,-60.0,0.0,LCO
56,90.0,60.0,0.0,APO
57,105.0,-60.0,0.0,LCO
58,105.0,60.0,0.0,APO
59,105.0,-60.0,0.0,LCO
60,105.0,60.0,0.0,APO
61,120.0,0.0,0.0,APO
62,120.0,0.0,0.0,APO
63,120.0,20.0,0.0,APO
64,120.0,20.0,0.0,APO
65,120.0,60.0,0.0,APO
66,120.0,60.0,0.0,APO
67,135.0,0.0,0.0,APO
68,135.0,0.0,0.0,APO
69,135.0,-20.0,0.0,LCO
70,135.0,20.0,0.0,APO
71,135.0,-20.0,0.0,LCO
72,135.0,20.0,0.0,APO
73,135.0,60.0,0.0,APO
74,135.0,60.0,0.0,APO
75,150.0,0.0,0.0,APO
76,150.0,0.0,0.0,APO
77,150.0,-20.0,0.0,LCO
78,150.0,20.0,0.0,APO
79,150.0,-20.0,0.0,LCO
80,150.0,20.0,0.0,APO
81,150.0,60.0,0.0,APO
82,150.0,60.0,0.0,APO
83,165.0,0.0,0.0,APO
84,165.0,0.0,0.0,APO
85,165.0,-20.0,0.0,LCO
86,165.0,20.0,0.0,APO
87,165.0,-20.0,0.0,LCO
88,165.0,20.0,0.0,APO
89,165.0,60.0,0.0,APO
90,165.0,60.0,0.0,APO
91,180.0,0.0,0.0,APO
92,180.0,0.0,0.0,APO
93,180.0,-20.0,0.0,LCO
94,180.0,20.0,0.0,APO
95,180.0,-20.0,0.0,LCO
96,180.0,20.0,0.0,APO
97,180.0,60.0,0.0,APO
98,180.0,60.0,0.0,APO
99,195.0,0.0,0.0,APO
100,195.0,0.0,0.0,APO
101,195.0,-20.0,0.0,LCO
102,195.0,20.0,0.0,APO
103,195.0,-20.0,0.0,LCO
104,195.0,20.0,0.0,APO
105,195.0,60.0,0.0,APO
106,195.0,60.0,0.0,APO
107,210.0,0.0,0.0,APO
108,210.0,0.0,0.0,APO
109,210.0,-20.0,0.0,LCO
110,210.0,20.0,0.0,APO
111,210.0,-20.0,0.0,LCO
112,210.0,20.0,0.0,APO
113,210.0,60.0,0.0,APO
114,210.0,60.0,0.0,APO
115,225.0,0.0,0.0,APO
116,225.0,0.0,0.0,APO
